path,workflow,triggers,permissions.keys,concurrency.group,concurrency.cancel,jobs.count,parse_error
.github/workflows/ak-apply.yml,ak-apply,,"actions,contents",ak-apply-${{ github.ref }},False,1,
.github/workflows/ak-auto.yml,ak-auto,"pull_request_target,workflow_dispatch","checks,contents,issues,pull-requests",ak-auto-${{ github.repository }}-${{ github.event_name == 'workflow_dispatch' && inputs.pr || github.event.pull_request.number }},False,1,
.github/workflows/ak-commands.yml,ak-commands,"issue_comment,workflow_dispatch","checks,contents,issues,pull-requests",ak-commands-${{ github.repository }}-${{ github.event_name == 'workflow_dispatch' && inputs.pr || github.event.issue.number || github.event.pull_request.number }}-${{ github.event_name == 'workflow_dispatch' && inputs.command || 'cmd' }},False,1,
.github/workflows/ak-dispatch.yml,ak-dispatch,,"contents,issues,pull-requests",ak-dispatch-${{ github.ref }},True,1,
.github/workflows/ak-exec.yml,ak-exec,,"checks,contents,issues,pull-requests",ak-exec-${{ github.repository }}-${{ github.event_name == 'workflow_dispatch' && inputs.pr || github.event.issue.number }}-${{ github.event_name == 'workflow_dispatch' && inputs.command || 'cmd' }},False,1,
.github/workflows/ak-loop.yml,ak-loop,,"contents,issues,pull-requests",,,1,
.github/workflows/ak-run.yml,AK run (/ak comment gateway),,"actions,contents,issues,pull-requests",ak-run-${{ github.event.issue.number || github.run_id }},True,1,
.github/workflows/ak-script-headers.yml,AK • Script Headers → Wiki & Repo,,contents,,,1,
.github/workflows/ak-selftest.yml,ak-selftest,,contents,,,2,
.github/workflows/ak-workflow-headers.yml,AK • Workflow Headers → Wiki & Repo,,contents,,,1,
.github/workflows/ak-workflow-inventory.yml,AK • Workflow Inventory,,"contents,pull-requests",,,1,
.github/workflows/auto-github-release.yml,auto-github-release,,"actions,contents",release-${{ github.event.inputs.tag || github.ref_name || github.run_id }},False,1,
.github/workflows/ci.yml,ci/webui,,contents,ci-webui-${{ github.ref }},True,1,
.github/workflows/contracts-ci.yml,Contracts CI,,contents,contracts-${{ github.ref }},True,1,
.github/workflows/guard-flush-queue.yml,guard/flush-queue,,"actions,contents",flush-queue-${{ github.ref }},True,1,
.github/workflows/guard-logs-ignored.yml,guard/logs-ignored (flex),,contents,guard-logs-${{ github.ref }},True,1,
.github/workflows/guard-readme-badge.yml,guard/readme-badge,,contents,guard-readme-badge-${{ github.ref }},True,1,
.github/workflows/health-smoke.yml,smoke/health,,contents,smoke-health-${{ github.ref }},True,1,
.github/workflows/housekeeping-smoke.yml,housekeeping/smoke,,contents,housekeeping-${{ github.ref }},True,1,
.github/workflows/inventory-ci.yml,inventory/ci,,contents,inventory-${{ github.ref }},True,2,
.github/workflows/klc-append-release.yml,KLC Append Release,,contents,klc-append-release,True,1,
.github/workflows/klc-nightly-aggregate.yml,KLC Nightly Aggregate,,contents,klc-nightly-aggregate,True,1,
.github/workflows/klc-validate.yml,CI · KLC v1.3 validate,,,,,1,
.github/workflows/klc-verify.yml,KLC Verify,,,,,1,
.github/workflows/lint-actions.yml,Lint GitHub Actions,,contents,,,1,
.github/workflows/post-release-canary.yml,Post-release Canary,,"contents,issues",post-release-canary-${{ github.ref }},True,1,
.github/workflows/protect-manual.yml,Protect Manual,,"contents,pull-requests",,,1,
.github/workflows/psanalyze.yml,PS-analyze,,contents,psanalyze-${{ github.ref }},False,1,
.github/workflows/release-docs.yml,Release Docs,,contents,release-docs,True,1,
.github/workflows/release-one.yml,Release One-Click,,contents,,,3,
.github/workflows/weekly-auto-release-smoke.yml,Weekly Auto Release Smoke,,contents,weekly-auto-release-smoke,True,1,
.github/workflows/weekly-housekeeping.yml,Weekly Housekeeping,,"actions,contents",,,1,
.github/workflows/wf-allround-tester.yml,WF Allround Tester,,"actions,checks,contents,pull-requests,statuses",wf-allround-${{ github.ref }},False,3,
.github/workflows/xp-summary-artifact.yml,xp-summary-artifact,,"contents,pull-requests",xp-summary-${{ github.ref }},False,1,
