"path","name","permissions","concurrency","has_workflow_dispatch","has_pull_request","has_push","has_issue_comment","has_release","has_schedule","updated_utc"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-apply.yml","ak-apply","contents: read    # zipball 다운로드용","group: ak-apply-${{ github.ref }}","True","False","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-auto.yml","ak-auto","contents: read","group: ak-auto-${{ github.repository }}-${{ github.event_name == 'workflow_dispatch' && inputs.pr || github.event.pull_request.number }}","True","True","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-commands.yml","ak-commands","contents: read","group: ak-commands-${{ github.repository }}-${{ github.event_name == 'workflow_dispatch' && inputs.pr || github.event.issue.number || github.event.pull_request.number }}-${{ github.event_name == 'workflow_dispatch' && inputs.command || 'cmd' }}","True","False","False","True","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-dispatch.yml","ak-dispatch","contents: read","group: ak-dispatch-${{ github.ref }}","True","False","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-exec.yml","ak-exec","contents: read","group: ak-exec-${{ github.repository }}-${{ github.event_name == 'workflow_dispatch' && inputs.pr || github.event.issue.number }}-${{ github.event_name == 'workflow_dispatch' && inputs.command || 'cmd' }}","True","False","False","True","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-loop.yml","ak-loop","issues: write","","True","True","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-run.yml","AK run (/ak comment gateway)","contents: read","group: ak-run-${{ github.event.issue.number || github.run_id }}","False","False","False","True","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-script-headers.yml","AK • Script Headers → Wiki & Repo","contents: write","","True","False","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-selftest.yml","ak-selftest","contents: read","","True","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-workflow-headers.yml","AK • Workflow Headers → Wiki & Repo","contents: write    # ← 레포/위키 커밋/푸시에 필요","","True","False","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ak-workflow-inventory.yml","AK • Workflow Inventory","contents: write         # 커밋/브랜치 생성","","True","False","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\auto-github-release.yml","auto-github-release","contents: write","group: release-${{ github.event.inputs.tag || github.ref_name || github.run_id }}","True","False","True","False","True","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\ci.yml","ci/webui","contents: read","group: ci-webui-${{ github.ref }}","False","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\contracts-ci.yml","Contracts CI","(default)","","False","True","False","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\dispatch-on-release.yml","Dispatch On Release","contents: read","","False","False","False","False","True","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\guard-flush-queue.yml","guard-flush-queue","contents: read","","False","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\guard-logs-ignored.yml","guard-logs-ignored","contents: read","","False","True","True","False","False","False","2025-10-31T15:39:50Z"
"D:\a\_temp\wfscan\unz\dh1293-hub-kobong-orchestrator-afcd1d7e2e382257e44b99f688dd4c5586dde126\.github\workflows\guard-readme-badge.yml","Guard README Badge","(default)","","False","True","False","False","False","False","2025-10-31T15:39:50Z"
